ClosedProbability,StrutThinning,StrutDiameter,LowerBoundStrutDiameter,UpperBoundStrutDiameter,FaceThickness,LowerBoundFaceThickness,UpperBoundFaceThickness,SorE,ObjectDiameter1,LBOD1,HBOD1,OB2,LBOD2,HBOD2,OB3,LBOD3,HBOD3,Porosity,SolidVolumeFraction,NumberOfGadObjects,Mass,Density,GrammageXDirection,GrammageYDirectionn,GrammageZDirection,SVFMeanValue,XDirImageSize,GrammageMinimalValueX,GrammageMaximalValueX,GrammageStandardDeviationX,GrammageMeanValueX,YDirImageSize,GrammageMinimalValueY,GrammageMaximalValueY,GrammageStandardDeviationY,GrammageMeanValueY,ZDirImageSize,GrammageMinimalValueZ,GrammageMaximalValueZ,GrammageStandardDeviationZ,GrammageMeanValueZ,MediumChordLengthX1,MediumChordLengthY1,MediumChordLengthZ1,MediumChordLength+X+Y1,MediumChordLength-X+Y1,MediumChordLength+X+Z1,MediumChordLength-X+Z1,MediumChordLength+Y+Z1,MediumChordLength-Y+Z1,MediumChordLength+X+Y+Z1,MediumChordLength-X+Y+Z1,MediumChordLength+X-Y+Z1,MediumChordLength+X+Y-Z1,MediumChordLengthX2,MediumChordLengthY2,MediumChordLengthZ2,MediumChordLength+X+Y2,MediumChordLength-X+Y2,MediumChordLength+X+Z2,MediumChordLength-X+Z2,MediumChordLength+Y+Z2,MediumChordLength-Y+Z2,MediumChordLength+X+Y+Z2,MediumChordLength-X+Y+Z2,MediumChordLength+X-Y+Z2,MediumChordLength+X+Y-Z2,NumberOfCountedComponents,NumberOfMaterialComponents,NumberOfPoreComponents,PoreMaterialIDs,MinimalComponentVolume,MaximalComponentVolume,MeanComponentVolume,MeanNumberOf2DComponentsXDirection,MeanNumberOf2DComponentsYDirection,MeanNumberOf2DComponentsZDirection,NumberOfVoxelSurfaces,SurfaceArea,SpecificSurfaceArea,SurfaceArea,SpecificSurfaceArea,Number of voxel edges in x-direction,Number of voxel edges in y-direction,Number of voxel edges in z-direction,Total length of three phase contact edges,Volume1,VolumeFraction1,SurfaceArea1,SpecificSurfaceArea1,IntegralMean1,SpecificIntegralMean1,IntegralTotal1,SpecificIntegralTotal1,EulerCharacteristic61,EulerCharacteristic261,Volume2,VolumeFraction2,SurfaceArea2,SpecificSurfaceArea2,IntegralMean2,SpecificIntegralMean2,IntegralTotal2,SpecificIntegralTotal2,EulerCharacteristic62,EulerCharacteristic262,Diameter1,Diameter2,Diameter3,Length1,Length2,Length3,Maximum Particle Diameter-um1,Maximum Particle Diameter-voxel1,Path Length-um1,Path Length-voxel1,Maximum Particle Diameter-um2,Maximum Particle Diameter-voxel2,Path Length-um2,Path Length-voxel2,Maximum Particle Diameter-um3,Maximum Particle Diameter-voxel3,Path Length-um3,Path Length-voxel3,OutflowMinTortuosity,OutflowMaxTortuosity,OutflowMeanTortuosity,OutflowMinPathLength,OutflowMaxPathLength,OutflowMeanPathLength,c11,c22,c33
0.4,0.4,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.846056912,0.153943088,3969,6.49469E-09,415.6601925,0.103915048,0.103915048,0.103915048,0.153943088,500,0,385.71,53.3411218,99.29329176,500,0,390.87,51.07581433,99.29329176,500,0,411.51,53.54636544,99.29329176,5.77739E-06,5.72465E-06,5.76714E-06,5.77371E-06,5.75788E-06,5.79431E-06,5.76889E-06,5.77461E-06,5.76398E-06,5.80299E-06,5.79582E-06,5.79256E-06,5.76047E-06,8.33676E-06,7.88901E-06,8.16412E-06,8.1558E-06,8.15972E-06,8.28678E-06,8.22031E-06,8.29623E-06,7.86727E-06,8.33578E-06,8.47274E-06,8.06786E-06,8.11965E-06,1,1,9,0,2.41E-12,2.41E-12,2.41E-12,16.062,17.658,16.99,5489746,1.37244E-06,87835.936,9.14175E-07,58507.18201,71424,70254,71047,0.106362,6.45E-13,0.04126464,4.46622E-07,28583.78356,0.08421008,5.39E+09,-10653.14069,-6.81801E+14,-848,-835,1.76E-12,0.112678448,8.60524E-07,55073.53041,0.048799342,3.12E+09,1912.182728,1.22E+14,152,-744,6.7082E-06,0.000006,5.74456E-06,0.000478626,0.000540889,0.000468761,6.7082,13.4164,478.626,957.251,6,12,540.889,1081.78,5.74456,11.4891,468.761,937.522,1.060434341,1.225157857,1.13901484,0.000265109,0.000306289,0.000284754,1.974860027,1.883186314,2.012337106
0.4,0.6,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.8516142,0.1483858,3969,6.26023E-09,400.6550147,0.100163754,0.100163754,0.100163754,0.1483858,500,0,374.1,52.76212361,95.708841,500,0,379.26,50.59854998,95.708841,500,0,406.35,53.07204315,95.708841,5.04078E-06,5.08483E-06,5.0311E-06,5.08973E-06,5.08491E-06,5.07225E-06,5.04809E-06,5.08538E-06,5.08806E-06,5.11253E-06,5.09764E-06,5.10783E-06,5.08779E-06,8.60912E-06,8.18278E-06,8.47567E-06,8.45617E-06,8.41696E-06,8.57014E-06,8.52833E-06,8.59265E-06,8.1617E-06,8.63823E-06,8.76028E-06,8.33344E-06,8.43178E-06,1,1,7,0,2.32E-12,2.32E-12,2.32E-12,17.282,18.994,18.096,5382006,1.3455E-06,86112.096,8.95205E-07,57293.09439,68218,67642,68033,0.101946,4.80E-13,0.030749624,3.78238E-07,24207.26028,0.089045209,5.70E+09,-10950.02119,-7.00801E+14,-871,-868,1.84E-12,0.117636176,8.67511E-07,55520.70073,0.041257759,2.64E+09,-2401.747584,-1.54E+14,-191,-744,6.40312E-06,5.83095E-06,5.83095E-06,0.000511007,0.000456399,0.000511463,6.40312,12.8062,511.007,1022.01,5.83095,11.6619,456.399,912.797,5.83095,11.6619,511.463,1022.93,1.055348873,1.227598786,1.13999474,0.000263837,0.0003069,0.000284999,1.806016382,1.702202561,1.808742604
0.4,0.8,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.855440184,0.144559816,3969,6.09882E-09,390.3245136,0.097581128,0.097581128,0.097581128,0.144559816,500,0,374.1,52.33084385,93.24108132,500,0,388.29,50.48752064,93.24108132,500,0,401.19,52.75572,93.24108132,4.65835E-06,4.6684E-06,4.64874E-06,4.68551E-06,4.71428E-06,4.69286E-06,4.69163E-06,4.72072E-06,4.68473E-06,4.74086E-06,4.7642E-06,4.73644E-06,4.7037E-06,8.97457E-06,8.52676E-06,8.81511E-06,8.80068E-06,8.77544E-06,8.91369E-06,8.86982E-06,8.94104E-06,8.48914E-06,8.97935E-06,9.11854E-06,8.6766E-06,8.76704E-06,50,50,6,0,1.20E-19,2.26E-12,4.52E-14,18.272,19.81,19.044,5287234,1.32181E-06,84595.744,8.79088E-07,56261.64428,65686,65271,65541,0.098249,3.56E-13,0.022792376,3.02862E-07,19383.17862,0.093824341,6.00E+09,3068.812424,1.96404E+14,244,-642,1.90E-12,0.12176744,8.62835E-07,55221.46602,0.03407857,2.18E+09,-3787.189944,-2.42E+14,-301,-853,6.16441E-06,5.65685E-06,5.47723E-06,0.000548889,0.000628906,0.000416509,6.16441,12.3288,548.889,1097.78,5.65685,11.3137,628.906,1257.81,5.47723,10.9545,416.509,833.017,1.055984616,1.227991223,1.142965913,0.000263996,0.000306998,0.000285741,1.637646478,1.548696076,1.659996599
0.4,1,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.85761788,0.14238212,3969,6.00695E-09,384.4445384,0.096111135,0.096111135,0.096111135,0.14238212,500,0,374.1,52.12463022,91.8364674,500,0,392.16,50.14369134,91.8364674,500,0,396.03,52.60041594,91.8364674,4.95905E-06,4.94814E-06,4.9112E-06,5.01456E-06,5.00841E-06,4.99844E-06,4.98932E-06,4.98226E-06,5.01111E-06,5.05574E-06,5.03058E-06,5.06286E-06,5.06607E-06,9.32105E-06,8.83852E-06,9.13637E-06,9.13636E-06,9.0931E-06,9.25185E-06,9.19069E-06,9.25619E-06,8.8027E-06,9.31286E-06,9.43495E-06,8.99751E-06,9.09743E-06,276,276,7,0,1.20E-19,2.22E-12,8.06E-15,16.72,18.072,17.436,5197588,1.29939E-06,83161.408,8.63821E-07,55284.52256,54171,53638,53665,0.080737,2.87E-13,0.01834896,2.29048E-07,14659.10005,0.074150275,4.75E+09,43379.63496,2.77630E+15,3452,1653,1.94E-12,0.12403316,8.47686E-07,54251.89156,0.03117699,2.00E+09,-770.7373977,-4.93E+13,-61,-322,6.7082E-06,5.83095E-06,5.74456E-06,0.000521318,0.000461469,0.000491128,6.7082,13.4164,521.318,1042.64,5.83095,11.6619,461.469,922.938,5.74456,11.4891,491.128,982.255,1.059490919,1.298006892,1.166232228,0.000264873,0.000324502,0.000291558,1.525759122,1.416551291,1.531010508
0.6,0.4,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.792003056,0.207996944,5095,8.77516E-09,561.6104685,0.140402617,0.140402617,0.140402617,0.207996944,500,16.77,428.28,59.92115299,134.1580289,500,12.9,456.66,59.54900752,134.1580289,500,14.19,370.23,55.61124913,134.1580289,5.74359E-06,5.72139E-06,5.76172E-06,5.74979E-06,5.74961E-06,5.7553E-06,5.79126E-06,5.7354E-06,5.78735E-06,5.74774E-06,5.79611E-06,5.78719E-06,5.79374E-06,8.5463E-06,8.59634E-06,8.44705E-06,8.81177E-06,8.42564E-06,8.49756E-06,8.61513E-06,8.7526E-06,8.4914E-06,8.83881E-06,8.72425E-06,8.42212E-06,8.75123E-06,1,1,15,0,3.25E-12,3.25E-12,3.25E-12,4.184,4.576,4.306,6597060,1.64926E-06,105552.96,1.09453E-06,70050.05329,78302,77971,77906,0.117089,6.42E-13,0.041117112,4.45802E-07,28531.35328,0.084289441,5.39E+09,-10734.2985,-6.86995E+14,-854,-854,2.61E-12,0.166879832,1.211E-06,77504.15493,0.030931421,1.98E+09,-20831.37729,-1.33E+15,-1658,-1820,7.68115E-06,7.28011E-06,7.07107E-06,0.000667517,0.000388747,0.00036769,7.68115,15.3623,667.517,1335.03,7.28011,14.5602,388.747,777.494,7.07107,14.1421,367.69,735.38,1.065482974,1.192650676,1.125971437,0.000266371,0.000298163,0.000281493,3.266958738,3.315179152,3.26071479
0.6,0.6,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.795690336,0.204309664,5095,8.6196E-09,551.6544807,0.13791362,0.13791362,0.13791362,0.204309664,500,9.03,412.8,59.60327418,131.7797333,500,12.9,457.95,59.07260359,131.7797333,500,14.19,371.52,55.18952295,131.7797333,5.04828E-06,4.99497E-06,4.99252E-06,5.02462E-06,5.06958E-06,5.04406E-06,5.05056E-06,5.03924E-06,5.01149E-06,5.05472E-06,5.10205E-06,5.06772E-06,5.02725E-06,8.97238E-06,8.9848E-06,8.81625E-06,9.20005E-06,8.84376E-06,8.91929E-06,8.98722E-06,9.14936E-06,8.86121E-06,9.24978E-06,9.12477E-06,8.83592E-06,9.10936E-06,1,1,17,0,3.19E-12,3.19E-12,3.19E-12,4.48,4.88,4.684,6572880,1.6432E-06,105166.08,1.08981E-06,69747.57948,72903,72665,72542,0.109055,4.73E-13,0.03028492,3.75386E-07,24024.7262,0.089099846,5.70E+09,-10880.90616,-6.96378E+14,-866,-870,2.72E-12,0.174024744,1.20745E-06,77276.75099,0.018659503,1.19E+09,-20258.56023,-1.30E+15,-1612,-1639,7.48331E-06,7.34847E-06,7.28011E-06,0.000368309,0.000585208,0.00031403,7.48331,14.9666,368.309,736.618,7.34847,14.6969,585.208,1170.42,7.28011,14.5602,314.03,628.061,1.063383102,1.196789265,1.128155828,0.000265846,0.000299197,0.000282039,3.155632883,3.187815556,3.135060925
0.6,0.8,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.797979352,0.202020648,5095,8.52303E-09,545.4739315,0.136368483,0.136368483,0.136368483,0.202020648,500,10.32,412.8,59.44151068,130.303318,500,12.9,450.21,58.86501496,130.303318,500,14.19,372.81,55.07748193,130.303318,4.6773E-06,4.6396E-06,4.63889E-06,4.71072E-06,4.68903E-06,4.70655E-06,4.69416E-06,4.66809E-06,4.70079E-06,4.73327E-06,4.72061E-06,4.7416E-06,4.73943E-06,9.39125E-06,9.41155E-06,9.23275E-06,9.64228E-06,9.24522E-06,9.33466E-06,9.40861E-06,9.57747E-06,9.27929E-06,9.69271E-06,9.54467E-06,9.24322E-06,9.54398E-06,3,3,16,0,3.70E-19,3.16E-12,1.05E-12,4.744,5.204,5.048,6560092,1.64002E-06,104961.472,1.08718E-06,69579.45725,69228,69202,69049,0.103739,3.55E-13,0.02274888,3.02524E-07,19361.55943,0.094192977,6.03E+09,3133.738672,2.00559E+14,249,-657,2.80E-12,0.179271768,1.18812E-06,76039.54332,0.008325085,5.33E+08,-15492.76417,-9.92E+14,-1233,-1570,7.07107E-06,7.07107E-06,7.07107E-06,0.000397221,0.000583608,0.000796818,7.07107,14.1421,397.221,794.441,7.07107,14.1421,583.608,1167.22,7.07107,14.1421,796.818,1593.64,1.064268947,1.197449088,1.129680395,0.000266067,0.000299362,0.00028242,3.06426613,3.085450267,3.042402849
0.6,1,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.799013032,0.200986968,5095,8.47942E-09,542.6829024,0.135670726,0.135670726,0.135670726,0.200986968,500,7.74,412.8,59.26049426,129.6365944,500,12.9,456.66,58.79065929,129.6365944,500,14.19,376.68,54.93886309,129.6365944,4.97636E-06,4.93549E-06,4.92693E-06,5.02752E-06,5.00946E-06,5.01183E-06,5.01553E-06,5.00749E-06,4.99028E-06,5.06408E-06,5.05656E-06,5.05651E-06,5.06299E-06,9.81839E-06,9.83569E-06,9.64134E-06,1.00762E-05,9.65953E-06,9.74722E-06,9.82858E-06,1.00095E-05,9.6861E-06,1.01274E-05,9.96998E-06,9.64973E-06,9.96521E-06,56,56,16,0,1.20E-19,3.14E-12,5.61E-14,4.434,4.692,4.772,6562810,1.6407E-06,105004.96,1.08736E-06,69590.95837,55954,56290,55930,0.084087,2.88E-13,0.018444048,2.29872E-07,14711.81927,0.074192501,4.75E+09,43453.98599,2.78E+15,3458,1681,2.85E-12,0.18254292,1.15816E-06,74122.23766,0.005740675,3.67E+08,-8301.134988,-5.31E+14,-661,-344,7.14143E-06,7.07107E-06,0.000007,0.000387178,0.000385238,0.000339627,7.14143,14.2829,387.178,774.357,7.07107,14.1421,385.238,770.477,7,14,339.627,679.254,1.06821835,1.271241903,1.139453769,0.000267055,0.00031781,0.000284863,3.013361308,3.037394273,3.003364044
0.8,0.4,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.745855552,0.254144448,6019,1.07221E-08,686.2128826,0.171553221,0.171553221,0.171553221,0.254144448,500,30.96,442.47,64.27975927,163.923169,500,41.28,537.93,59.22251287,163.923169,500,16.77,417.96,61.84434397,163.923169,5.74024E-06,5.73941E-06,5.77191E-06,5.76179E-06,5.76481E-06,5.77237E-06,5.77664E-06,5.80047E-06,5.76064E-06,5.80087E-06,5.8218E-06,5.77924E-06,5.76441E-06,8.80606E-06,8.71873E-06,8.84646E-06,8.90037E-06,8.87505E-06,8.86146E-06,9.00456E-06,8.8953E-06,8.86562E-06,8.92575E-06,9.07878E-06,8.89487E-06,9.03936E-06,1,1,16,0,3.97E-12,3.97E-12,3.97E-12,1.748,1.598,1.92,7564878,1.89122E-06,121038.048,1.24835E-06,79894.4934,73723,75187,74020,0.111465,6.49E-13,0.0415404,4.4958E-07,28773.10845,0.084212013,5.39E+09,-10862.0566,-6.95E+14,-864,-866,3.32E-12,0.212604048,1.49178E-06,95474.22723,-0.000129169,-8.27E+06,-45474.55366,-2.91E+15,-3619,-3185,8.12404E-06,7.81025E-06,7.34847E-06,0.000514579,0.000326374,0.000460418,8.12404,16.2481,514.579,1029.16,7.81025,15.6205,326.374,652.748,7.34847,14.6969,460.418,920.836,1.048684478,1.172666192,1.101342082,0.000262171,0.000293167,0.000275336,4.644837562,4.586848545,4.630122018
0.8,0.6,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.74794144,0.25205856,6019,1.06341E-08,680.5807973,0.170145199,0.170145199,0.170145199,0.25205856,500,30.96,434.73,64.23394014,162.5777712,500,41.28,536.64,59.22009808,162.5777712,500,16.77,412.8,61.75674931,162.5777712,5.02627E-06,5.01328E-06,5.01374E-06,5.04436E-06,5.04865E-06,5.00525E-06,5.07858E-06,5.05615E-06,5.03405E-06,5.05014E-06,5.11208E-06,5.03884E-06,5.07442E-06,9.32879E-06,9.22488E-06,9.34495E-06,9.41574E-06,9.39312E-06,9.35851E-06,9.53218E-06,9.40169E-06,9.36273E-06,9.43064E-06,9.60808E-06,9.38975E-06,9.55516E-06,1,1,20,0,3.94E-12,3.94E-12,3.94E-12,1.84,1.706,2.034,7576654,1.89416E-06,121226.464,1.24988E-06,79992.25751,62080,62811,62060,0.0934755,4.73E-13,0.030301976,3.75202E-07,24012.95971,0.08917057,5.71E+09,-10850.01383,-6.94E+14,-863,-865,3.46E-12,0.221756584,1.47169E-06,94188.3792,-0.023777179,-1.52E+09,-43008.40343,-2.75E+15,-3423,-2509,7.87401E-06,7.68115E-06,7.54983E-06,0.000432914,0.000326288,0.00046054,7.87401,15.748,432.914,865.828,7.68115,15.3623,326.288,652.577,7.54983,15.0997,460.54,921.08,1.050976872,1.176164508,1.101817727,0.000262744,0.000294041,0.000275454,4.574098409,4.524605288,4.558884816
