CP,ST,SorD,LBS,UBS,FT,LBFT,UBFT,SorE,OD1,LBOD1,HBOD1,OD2,LBOD2,HBOD2,OD3,LBOD3,HBOD3,POST,SVF,NOGO,Mass,Density,GXD,GYD,GZD,SVFMV,XDS,GMINVX,GMAXVX,GSDX,GMVX,YDS,GMINVY,GMAXVY,GSDY,GMVY,ZDS,GMINVZ,GMAXVZ,GSDZ,GMVZ,MCLX1,MCLY1,MCLZ1,MCLXY1,MCLYX1,MCLXZ1,MCLZX1,MCLYZ1,MCLZY1,MCLXYZ1,MCLYZX1,MCLXZY1,MZYZXY1,MCLX2,MCLY2,MCLZ2,MCLXY2,MCLYX2,MCLXZ2,MCLZX2,MCLYZ2,MCLZY2,MCLXYZ2,MCLYZX2,MCLXZY2,MZYZXY2,NOCC,NOMC,NOPC,PMID,MINCV,MAXCV,MEANCV,MNOCXD,MNOCYD,MNOCZD,NOVS,SAV,SSAV,SAE,SSAE,NOVEXD,NOVEYD,NOVEZD,TLOTPCE,V1,VF1,SA1,SSA1,IM1,SIM1,IT1,SIT1,EC61,EC261,V2,VF2,SA2,SSA2,IM2,SIM2,IT2,SIT2,EC62,EC262,D1,D2,D3,L1,L2,L3,MPDM1,MPDV1,PLM1,PLV1,MPDM2,MPDV2,PLM2,PLV2,MPDM3,MPDV3,PLM3,PLV3,OMINT,OMAXT,OMEANT,OMINTL,OMAXTL,OMEANTL,CX,CY,CZ
0.4,0.4,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.846056912,0.153943088,3969,6.49E-09,415.6601925,0.103915048,0.103915048,0.103915048,0.153943088,500,0,385.71,53.3411218,99.29329176,500,0,390.87,51.07581433,99.29329176,500,0,411.51,53.54636544,99.29329176,5.78E-06,5.72E-06,5.77E-06,5.77E-06,5.76E-06,5.79E-06,5.77E-06,5.77E-06,5.76E-06,5.80E-06,5.80E-06,5.79E-06,5.76E-06,8.34E-06,7.89E-06,8.16E-06,8.16E-06,8.16E-06,8.29E-06,8.22E-06,8.30E-06,7.87E-06,8.34E-06,8.47E-06,8.07E-06,8.12E-06,1,1,9,0,2.41E-12,2.41E-12,2.41E-12,16.062,17.658,16.99,5489746,1.37E-06,87835.936,9.14E-07,58507.18201,71424,70254,71047,0.106362,6.45E-13,0.04126464,4.47E-07,28583.78356,0.08421008,5.39E+09,-10653.14069,-6.82E+14,-848,-835,1.76E-12,0.112678448,8.61E-07,55073.53041,0.048799342,3.12E+09,1912.182728,1.22E+14,152,-744,6.71E-06,0.000006,5.74E-06,0.000478626,0.000540889,0.000468761,6.7082,13.4164,478.626,957.251,6,12,540.889,1081.78,5.74456,11.4891,468.761,937.522,1.060434341,1.225157857,1.13901484,0.000265109,0.000306289,0.000284754,1.974860027,1.883186314,2.012337106
0.4,0.6,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.8516142,0.1483858,3969,6.26E-09,400.6550147,0.100163754,0.100163754,0.100163754,0.1483858,500,0,374.1,52.76212361,95.708841,500,0,379.26,50.59854998,95.708841,500,0,406.35,53.07204315,95.708841,5.04E-06,5.08E-06,5.03E-06,5.09E-06,5.08E-06,5.07E-06,5.05E-06,5.09E-06,5.09E-06,5.11E-06,5.10E-06,5.11E-06,5.09E-06,8.61E-06,8.18E-06,8.48E-06,8.46E-06,8.42E-06,8.57E-06,8.53E-06,8.59E-06,8.16E-06,8.64E-06,8.76E-06,8.33E-06,8.43E-06,1,1,7,0,2.32E-12,2.32E-12,2.32E-12,17.282,18.994,18.096,5382006,1.35E-06,86112.096,8.95E-07,57293.09439,68218,67642,68033,0.101946,4.80E-13,0.030749624,3.78E-07,24207.26028,0.089045209,5.70E+09,-10950.02119,-7.01E+14,-871,-868,1.84E-12,0.117636176,8.68E-07,55520.70073,0.041257759,2.64E+09,-2401.747584,-1.54E+14,-191,-744,6.40E-06,5.83E-06,5.83E-06,0.000511007,0.000456399,0.000511463,6.40312,12.8062,511.007,1022.01,5.83095,11.6619,456.399,912.797,5.83095,11.6619,511.463,1022.93,1.055348873,1.227598786,1.13999474,0.000263837,0.0003069,0.000284999,1.806016382,1.702202561,1.808742604
0.4,0.8,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.855440184,0.144559816,3969,6.10E-09,390.3245136,0.097581128,0.097581128,0.097581128,0.144559816,500,0,374.1,52.33084385,93.24108132,500,0,388.29,50.48752064,93.24108132,500,0,401.19,52.75572,93.24108132,4.66E-06,4.67E-06,4.65E-06,4.69E-06,4.71E-06,4.69E-06,4.69E-06,4.72E-06,4.68E-06,4.74E-06,4.76E-06,4.74E-06,4.70E-06,8.97E-06,8.53E-06,8.82E-06,8.80E-06,8.78E-06,8.91E-06,8.87E-06,8.94E-06,8.49E-06,8.98E-06,9.12E-06,8.68E-06,8.77E-06,50,50,6,0,1.20E-19,2.26E-12,4.52E-14,18.272,19.81,19.044,5287234,1.32E-06,84595.744,8.79E-07,56261.64428,65686,65271,65541,0.098249,3.56E-13,0.022792376,3.03E-07,19383.17862,0.093824341,6.00E+09,3068.812424,1.96E+14,244,-642,1.90E-12,0.12176744,8.63E-07,55221.46602,0.03407857,2.18E+09,-3787.189944,-2.42E+14,-301,-853,6.16E-06,5.66E-06,5.48E-06,0.000548889,0.000628906,0.000416509,6.16441,12.3288,548.889,1097.78,5.65685,11.3137,628.906,1257.81,5.47723,10.9545,416.509,833.017,1.055984616,1.227991223,1.142965913,0.000263996,0.000306998,0.000285741,1.637646478,1.548696076,1.659996599
0.4,1,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.85761788,0.14238212,3969,6.01E-09,384.4445384,0.096111135,0.096111135,0.096111135,0.14238212,500,0,374.1,52.12463022,91.8364674,500,0,392.16,50.14369134,91.8364674,500,0,396.03,52.60041594,91.8364674,4.96E-06,4.95E-06,4.91E-06,5.01E-06,5.01E-06,5.00E-06,4.99E-06,4.98E-06,5.01E-06,5.06E-06,5.03E-06,5.06E-06,5.07E-06,9.32E-06,8.84E-06,9.14E-06,9.14E-06,9.09E-06,9.25E-06,9.19E-06,9.26E-06,8.80E-06,9.31E-06,9.43E-06,9.00E-06,9.10E-06,276,276,7,0,1.20E-19,2.22E-12,8.06E-15,16.72,18.072,17.436,5197588,1.30E-06,83161.408,8.64E-07,55284.52256,54171,53638,53665,0.080737,2.87E-13,0.01834896,2.29E-07,14659.10005,0.074150275,4.75E+09,43379.63496,2.78E+15,3452,1653,1.94E-12,0.12403316,8.48E-07,54251.89156,0.03117699,2.00E+09,-770.7373977,-4.93E+13,-61,-322,6.71E-06,5.83E-06,5.74E-06,0.000521318,0.000461469,0.000491128,6.7082,13.4164,521.318,1042.64,5.83095,11.6619,461.469,922.938,5.74456,11.4891,491.128,982.255,1.059490919,1.298006892,1.166232228,0.000264873,0.000324502,0.000291558,1.525759122,1.416551291,1.531010508
0.6,0.4,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.792003056,0.207996944,5095,8.78E-09,561.6104685,0.140402617,0.140402617,0.140402617,0.207996944,500,16.77,428.28,59.92115299,134.1580289,500,12.9,456.66,59.54900752,134.1580289,500,14.19,370.23,55.61124913,134.1580289,5.74E-06,5.72E-06,5.76E-06,5.75E-06,5.75E-06,5.76E-06,5.79E-06,5.74E-06,5.79E-06,5.75E-06,5.80E-06,5.79E-06,5.79E-06,8.55E-06,8.60E-06,8.45E-06,8.81E-06,8.43E-06,8.50E-06,8.62E-06,8.75E-06,8.49E-06,8.84E-06,8.72E-06,8.42E-06,8.75E-06,1,1,15,0,3.25E-12,3.25E-12,3.25E-12,4.184,4.576,4.306,6597060,1.65E-06,105552.96,1.09E-06,70050.05329,78302,77971,77906,0.117089,6.42E-13,0.041117112,4.46E-07,28531.35328,0.084289441,5.39E+09,-10734.2985,-6.87E+14,-854,-854,2.61E-12,0.166879832,1.21E-06,77504.15493,0.030931421,1.98E+09,-20831.37729,-1.33E+15,-1658,-1820,7.68E-06,7.28E-06,7.07E-06,0.000667517,0.000388747,0.00036769,7.68115,15.3623,667.517,1335.03,7.28011,14.5602,388.747,777.494,7.07107,14.1421,367.69,735.38,1.065482974,1.192650676,1.125971437,0.000266371,0.000298163,0.000281493,3.266958738,3.315179152,3.26071479
0.6,0.6,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.795690336,0.204309664,5095,8.62E-09,551.6544807,0.13791362,0.13791362,0.13791362,0.204309664,500,9.03,412.8,59.60327418,131.7797333,500,12.9,457.95,59.07260359,131.7797333,500,14.19,371.52,55.18952295,131.7797333,5.05E-06,4.99E-06,4.99E-06,5.02E-06,5.07E-06,5.04E-06,5.05E-06,5.04E-06,5.01E-06,5.05E-06,5.10E-06,5.07E-06,5.03E-06,8.97E-06,8.98E-06,8.82E-06,9.20E-06,8.84E-06,8.92E-06,8.99E-06,9.15E-06,8.86E-06,9.25E-06,9.12E-06,8.84E-06,9.11E-06,1,1,17,0,3.19E-12,3.19E-12,3.19E-12,4.48,4.88,4.684,6572880,1.64E-06,105166.08,1.09E-06,69747.57948,72903,72665,72542,0.109055,4.73E-13,0.03028492,3.75E-07,24024.7262,0.089099846,5.70E+09,-10880.90616,-6.96E+14,-866,-870,2.72E-12,0.174024744,1.21E-06,77276.75099,0.018659503,1.19E+09,-20258.56023,-1.30E+15,-1612,-1639,7.48E-06,7.35E-06,7.28E-06,0.000368309,0.000585208,0.00031403,7.48331,14.9666,368.309,736.618,7.34847,14.6969,585.208,1170.42,7.28011,14.5602,314.03,628.061,1.063383102,1.196789265,1.128155828,0.000265846,0.000299197,0.000282039,3.155632883,3.187815556,3.135060925
0.6,0.8,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.797979352,0.202020648,5095,8.52E-09,545.4739315,0.136368483,0.136368483,0.136368483,0.202020648,500,10.32,412.8,59.44151068,130.303318,500,12.9,450.21,58.86501496,130.303318,500,14.19,372.81,55.07748193,130.303318,4.68E-06,4.64E-06,4.64E-06,4.71E-06,4.69E-06,4.71E-06,4.69E-06,4.67E-06,4.70E-06,4.73E-06,4.72E-06,4.74E-06,4.74E-06,9.39E-06,9.41E-06,9.23E-06,9.64E-06,9.25E-06,9.33E-06,9.41E-06,9.58E-06,9.28E-06,9.69E-06,9.54E-06,9.24E-06,9.54E-06,3,3,16,0,3.70E-19,3.16E-12,1.05E-12,4.744,5.204,5.048,6560092,1.64E-06,104961.472,1.09E-06,69579.45725,69228,69202,69049,0.103739,3.55E-13,0.02274888,3.03E-07,19361.55943,0.094192977,6.03E+09,3133.738672,2.01E+14,249,-657,2.80E-12,0.179271768,1.19E-06,76039.54332,0.008325085,5.33E+08,-15492.76417,-9.92E+14,-1233,-1570,7.07E-06,7.07E-06,7.07E-06,0.000397221,0.000583608,0.000796818,7.07107,14.1421,397.221,794.441,7.07107,14.1421,583.608,1167.22,7.07107,14.1421,796.818,1593.64,1.064268947,1.197449088,1.129680395,0.000266067,0.000299362,0.00028242,3.06426613,3.085450267,3.042402849
0.6,1,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.799013032,0.200986968,5095,8.48E-09,542.6829024,0.135670726,0.135670726,0.135670726,0.200986968,500,7.74,412.8,59.26049426,129.6365944,500,12.9,456.66,58.79065929,129.6365944,500,14.19,376.68,54.93886309,129.6365944,4.98E-06,4.94E-06,4.93E-06,5.03E-06,5.01E-06,5.01E-06,5.02E-06,5.01E-06,4.99E-06,5.06E-06,5.06E-06,5.06E-06,5.06E-06,9.82E-06,9.84E-06,9.64E-06,1.01E-05,9.66E-06,9.75E-06,9.83E-06,1.00E-05,9.69E-06,1.01E-05,9.97E-06,9.65E-06,9.97E-06,56,56,16,0,1.20E-19,3.14E-12,5.61E-14,4.434,4.692,4.772,6562810,1.64E-06,105004.96,1.09E-06,69590.95837,55954,56290,55930,0.084087,2.88E-13,0.018444048,2.30E-07,14711.81927,0.074192501,4.75E+09,43453.98599,2.78E+15,3458,1681,2.85E-12,0.18254292,1.16E-06,74122.23766,0.005740675,3.67E+08,-8301.134988,-5.31E+14,-661,-344,7.14E-06,7.07E-06,0.000007,0.000387178,0.000385238,0.000339627,7.14143,14.2829,387.178,774.357,7.07107,14.1421,385.238,770.477,7,14,339.627,679.254,1.06821835,1.271241903,1.139453769,0.000267055,0.00031781,0.000284863,3.013361308,3.037394273,3.003364044
0.8,0.4,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.745855552,0.254144448,6019,1.07E-08,686.2128826,0.171553221,0.171553221,0.171553221,0.254144448,500,30.96,442.47,64.27975927,163.923169,500,41.28,537.93,59.22251287,163.923169,500,16.77,417.96,61.84434397,163.923169,5.74E-06,5.74E-06,5.77E-06,5.76E-06,5.76E-06,5.77E-06,5.78E-06,5.80E-06,5.76E-06,5.80E-06,5.82E-06,5.78E-06,5.76E-06,8.81E-06,8.72E-06,8.85E-06,8.90E-06,8.88E-06,8.86E-06,9.00E-06,8.90E-06,8.87E-06,8.93E-06,9.08E-06,8.89E-06,9.04E-06,1,1,16,0,3.97E-12,3.97E-12,3.97E-12,1.748,1.598,1.92,7564878,1.89E-06,121038.048,1.25E-06,79894.4934,73723,75187,74020,0.111465,6.49E-13,0.0415404,4.50E-07,28773.10845,0.084212013,5.39E+09,-10862.0566,-6.95E+14,-864,-866,3.32E-12,0.212604048,1.49E-06,95474.22723,-0.000129169,-8.27E+06,-45474.55366,-2.91E+15,-3619,-3185,8.12E-06,7.81E-06,7.35E-06,0.000514579,0.000326374,0.000460418,8.12404,16.2481,514.579,1029.16,7.81025,15.6205,326.374,652.748,7.34847,14.6969,460.418,920.836,1.048684478,1.172666192,1.101342082,0.000262171,0.000293167,0.000275336,4.644837562,4.586848545,4.630122018
0.8,0.6,1,0.000002,0.00001,1,0.000002,0.00001,0,1,0.00003,0.00006,0,0,0,0,0,0,0.74794144,0.25205856,6019,1.06E-08,680.5807973,0.170145199,0.170145199,0.170145199,0.25205856,500,30.96,434.73,64.23394014,162.5777712,500,41.28,536.64,59.22009808,162.5777712,500,16.77,412.8,61.75674931,162.5777712,5.03E-06,5.01E-06,5.01E-06,5.04E-06,5.05E-06,5.01E-06,5.08E-06,5.06E-06,5.03E-06,5.05E-06,5.11E-06,5.04E-06,5.07E-06,9.33E-06,9.22E-06,9.34E-06,9.42E-06,9.39E-06,9.36E-06,9.53E-06,9.40E-06,9.36E-06,9.43E-06,9.61E-06,9.39E-06,9.56E-06,1,1,20,0,3.94E-12,3.94E-12,3.94E-12,1.84,1.706,2.034,7576654,1.89E-06,121226.464,1.25E-06,79992.25751,62080,62811,62060,0.0934755,4.73E-13,0.030301976,3.75E-07,24012.95971,0.08917057,5.71E+09,-10850.01383,-6.94E+14,-863,-865,3.46E-12,0.221756584,1.47E-06,94188.3792,-0.023777179,-1.52E+09,-43008.40343,-2.75E+15,-3423,-2509,7.87E-06,7.68E-06,7.55E-06,0.000432914,0.000326288,0.00046054,7.87401,15.748,432.914,865.828,7.68115,15.3623,326.288,652.577,7.54983,15.0997,460.54,921.08,1.050976872,1.176164508,1.101817727,0.000262744,0.000294041,0.000275454,4.574098409,4.524605288,4.558884816
